;02/02/2026;03/02/2026;04/02/2026;05/02/2026;06/02/2026;09/02/2026;10/02/2026;11/02/2026;12/02/2026;13/02/2026;16/02/2026;17/02/2026;18/02/2026;19/02/2026;20/02/2026;23/02/2026;24/02/2026;25/02/2026;26/02/2026;27/02/2026;Totais
;;;;;;;;;;;;;;;;;;;;;
Saldo Inicial;1.826.374,91 ;1.802.021,80 ;1.799.639,20 ;1.682.684,57 ;1.682.684,57 ;1.597.755,27 ;1.574.809,94 ;1.498.150,72 ;1.498.138,92 ;1.496.482,88 ;1.494.784,76 ;1.544.783,86 ;1.544.782,06 ;1.493.431,04 ;1.412.425,97 ;378.923,57 ;291.269,98 ;220.431,56 ;118.286,64 ;-13.713,36 ;
;;;;;;;;;;;;;;;;;;;;;
Total das Receitas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
Projetos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Bragança;;;;;;;;;;;;;;;;;;;;;0,00
Paraguaçu;;;;;;;;;;;;;;;;;;;;;0,00
SAMU - MG;;;;;;;;;;;;;;;;;;;;;0,00
Santo Andre - Clinica;;;;;;;;;;;;;;;;;;;;;0,00
Santo Andre - Cirurgia;;;;;;;;;;;;;;;;;;;;;0,00
São Bernardo;;;;;;;;;;;;;;;;;;;;;0,00
Nardini;;;;;;;;;;;;;;;;;;;;;0,00
Nardini - SAMU;;;;;;;;;;;;;;;;;;;;;0,00
Taquaraçu;;;;;;;;;;;;;;;;;;;;;0,00
Rondonia;;;;;;;;;;;;;;;;;;;;;0,00
Walter;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
Clinica;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
Resgate Aplicações/Rendimentos;;;;;;;;;;;;;;;;;;;;;0,00
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Despesas;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Projetos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Bragança;;;;;;;;;;;;;;;;;;;;;0,00
